belagskategorie;option;bewertungskategorie;wert;gewicht;group_id;min_wert;max_wert;score_normiert;MCA_score_kriterium
Sickerbeläge;Chaussierung;versickerung;0,50;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;0,3749999999999999;0,02812499999999999
Sickerbeläge;Chaussierung;oberflaechentemperatur;46,50;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,6327160493827161;0,04745370370370371
Sickerbeläge;Chaussierung;befahrbarkeit;1,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,0000000000000000;0,00000000000000000
Sickerbeläge;Chaussierung;kosten;50,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;1,0000000000000000;0,07500000000000000
Sickerbeläge;Chaussierung;unterhalt;3,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,8571428571428572;0,06428571428571429
Sickerbeläge;Chaussierung;co2;17,50;0,180;umweltbelastung;17,5;72,5;1,0000000000000000;0,17999999999999999
Sickerbeläge;Chaussierung;graueEnergie;70,00;0,120;umweltbelastung;70,0;375,0;1,0000000000000000;0,12000000000000000
Sickerbeläge;Chaussierung;recyclingfaehigkeit;1,00;0,080;kreislauffaehigkeit;0,2;1,0;1,0000000000000000;0,08000000000000000
Sickerbeläge;Chaussierung;lokaleMaterialien;0,95;0,060;kreislauffaehigkeit;0,4;1,0;0,9166666666666666;0,05499999999999999
Sickerbeläge;Chaussierung;modulareErneuerbarkeit;5,00;0,060;kreislauffaehigkeit;1,0;5,0;1,0000000000000000;0,06000000000000000
Sickerbeläge;Chaussierung;barrierefreiheit;1,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,0000000000000000;0,00000000000000000
Sickerbeläge;Kiesrasen;lebensdauer;15,00;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,0000000000000000;0,00000000000000000
Sickerbeläge;Kiesrasen;versickerung;0,20;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;0,0000000000000000;0,00000000000000000
Sickerbeläge;Kiesrasen;oberflaechentemperatur;49,00;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,7098765432098766;0,05324074074074074
Sickerbeläge;Kiesrasen;befahrbarkeit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000;0,02500000000000000
Sickerbeläge;Kiesrasen;kosten;95,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,8500000000000000;0,06375000000000000
Sickerbeläge;Kiesrasen;unterhalt;9,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,0000000000000000;0,00000000000000000
Sickerbeläge;Kiesrasen;co2;25,00;0,180;umweltbelastung;17,5;72,5;0,8636363636363636;0,15545454545454546
Sickerbeläge;Kiesrasen;graueEnergie;100,00;0,120;umweltbelastung;70,0;375,0;0,9016393442622951;0,10819672131147541
Sickerbeläge;Kiesrasen;recyclingfaehigkeit;1,00;0,080;kreislauffaehigkeit;0,2;1,0;1,0000000000000000;0,08000000000000000
Sickerbeläge;Kiesrasen;lokaleMaterialien;0,90;0,060;kreislauffaehigkeit;0,4;1,0;0,8333333333333334;0,05000000000000000
Sickerbeläge;Kiesrasen;modulareErneuerbarkeit;3,00;0,060;kreislauffaehigkeit;1,0;5,0;0,5000000000000000;0,03000000000000000
Sickerbeläge;Kiesrasen;barrierefreiheit;1,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,0000000000000000;0,00000000000000000
Sickerbeläge;Rasengittersteine;lebensdauer;25,00;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,2857142857142857;0,02857142857142857
Sickerbeläge;Rasengittersteine;versickerung;0,40;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;0,2500000000000000;0,01875000000000000
Sickerbeläge;Rasengittersteine;oberflaechentemperatur;26,00;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,0000000000000000;0,00000000000000000
Sickerbeläge;Rasengittersteine;befahrbarkeit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000;0,02500000000000000
Sickerbeläge;Rasengittersteine;kosten;100,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,8333333333333334;0,06250000000000000
Sickerbeläge;Rasengittersteine;unterhalt;6,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,4285714285714286;0,03214285714285715
Sickerbeläge;Rasengittersteine;co2;45,00;0,180;umweltbelastung;17,5;72,5;0,5000000000000000;0,09000000000000000
Sickerbeläge;Rasengittersteine;graueEnergie;137,50;0,120;umweltbelastung;70,0;375,0;0,7786885245901639;0,09344262295081966
Sickerbeläge;Rasengittersteine;recyclingfaehigkeit;0,40;0,080;kreislauffaehigkeit;0,2;1,0;0,2500000000000000;0,02000000000000000
Sickerbeläge;Rasengittersteine;lokaleMaterialien;0,80;0,060;kreislauffaehigkeit;0,4;1,0;0,6666666666666667;0,04000000000000000
Sickerbeläge;Rasengittersteine;modulareErneuerbarkeit;3,00;0,060;kreislauffaehigkeit;1,0;5,0;0,5000000000000000;0,03000000000000000
Sickerbeläge;Rasengittersteine;barrierefreiheit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000;0,02500000000000000
