belagskategorie;option;bewertungskategorie;wert;szenario;gewicht;group_id;min_wert;max_wert;score_normiert;MCA_score_kriterium
Asphalt;Sickerasphalt;unterhalt_100a;650,00;Szenario 3: Radikaler Lebenszyklus;0,20000000000;langlebigkeit_wirtschaftlichkeit;200,0;900,0;0,3571428571428571;0,071428571428571425
Asphalt;Sickerasphalt;co2_100a;480,00;Szenario 0: Baseline (IST);0,05000000000;umweltbelastung;105,0;480,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;co2_100a;480,00;Szenario 1: Forschungsfokus;0,12500000000;umweltbelastung;105,0;480,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;co2_100a;480,00;Szenario 2: Radikale Vermeidung;0,22500000000;umweltbelastung;105,0;480,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;co2_100a;480,00;Szenario 3: Radikaler Lebenszyklus;0,02500000000;umweltbelastung;105,0;480,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;graueEnergie_100a;2760,00;Szenario 0: Baseline (IST);0,05000000000;umweltbelastung;405,0;2760,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;graueEnergie_100a;2760,00;Szenario 1: Forschungsfokus;0,12500000000;umweltbelastung;405,0;2760,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;graueEnergie_100a;2760,00;Szenario 2: Radikale Vermeidung;0,22500000000;umweltbelastung;405,0;2760,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;graueEnergie_100a;2760,00;Szenario 3: Radikaler Lebenszyklus;0,02500000000;umweltbelastung;405,0;2760,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;recyclingfaehigkeit;1,00;Szenario 0: Baseline (IST);0,03333333330;kreislauffaehigkeit;0,0;2,0;0,5000000000000000;0,016666666650000002
Asphalt;Sickerasphalt;recyclingfaehigkeit;1,00;Szenario 1: Forschungsfokus;0,08333333325;kreislauffaehigkeit;0,0;2,0;0,5000000000000000;0,041666666625000001
Asphalt;Sickerasphalt;recyclingfaehigkeit;1,00;Szenario 2: Radikale Vermeidung;0,14999999985;kreislauffaehigkeit;0,0;2,0;0,5000000000000000;0,074999999925000005
Asphalt;Sickerasphalt;recyclingfaehigkeit;1,00;Szenario 3: Radikaler Lebenszyklus;0,01666666665;kreislauffaehigkeit;0,0;2,0;0,5000000000000000;0,008333333325000001
Asphalt;Sickerasphalt;lokaleMaterialien;0,60;Szenario 0: Baseline (IST);0,03333333330;kreislauffaehigkeit;0,4;0,8;0,4999999999999999;0,016666666649999998
Asphalt;Sickerasphalt;lokaleMaterialien;0,60;Szenario 1: Forschungsfokus;0,08333333325;kreislauffaehigkeit;0,4;0,8;0,4999999999999999;0,041666666624999994
Asphalt;Sickerasphalt;lokaleMaterialien;0,60;Szenario 2: Radikale Vermeidung;0,14999999985;kreislauffaehigkeit;0,4;0,8;0,4999999999999999;0,074999999924999991
Asphalt;Sickerasphalt;lokaleMaterialien;0,60;Szenario 3: Radikaler Lebenszyklus;0,01666666665;kreislauffaehigkeit;0,4;0,8;0,4999999999999999;0,008333333324999999
Asphalt;Sickerasphalt;modulareErneuerbarkeit;0,00;Szenario 0: Baseline (IST);0,03333333330;kreislauffaehigkeit;0,0;2,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;modulareErneuerbarkeit;0,00;Szenario 1: Forschungsfokus;0,08333333325;kreislauffaehigkeit;0,0;2,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;modulareErneuerbarkeit;0,00;Szenario 2: Radikale Vermeidung;0,14999999985;kreislauffaehigkeit;0,0;2,0;0,0000000000000000;0,000000000000000000
Asphalt;Sickerasphalt;modulareErneuerbarkeit;0,00;Szenario 3: Radikaler Lebenszyklus;0,01666666665;kreislauffaehigkeit;0,0;2,0;0,0000000000000000;0,000000000000000000
Asphalt;Heller Asphalt;lebensdauer;17,50;Szenario 0: Baseline (IST);0,20000000000;langlebigkeit_wirtschaftlichkeit;12,5;45,0;0,1538461538461539;0,030769230769230771
