baumkategorie;baumart;bewertungskategorie;wert;szenario;gewicht;group_id;min_wert;max_wert;score_normiert;MCA_score_kriterium
Grosskronige Arten;Tilia tomentosa (Silber-Linde);lebensdauer_mw;80,0;Szenario 0: Baseline (IST);0,2000;langlebigkeit_wirtschaftlichkeit;50,0;100,0;0,6000000000000000;0,119999999999999996
Grosskronige Arten;Tilia tomentosa (Silber-Linde);lebensdauer_mw;80,0;Szenario 1: Forschungsfokus;0,2000;langlebigkeit_wirtschaftlichkeit;50,0;100,0;0,6000000000000000;0,119999999999999996
Grosskronige Arten;Tilia tomentosa (Silber-Linde);lebensdauer_mw;80,0;Szenario 2: Radikale Vermeidung;0,0250;langlebigkeit_wirtschaftlichkeit;50,0;100,0;0,6000000000000000;0,014999999999999999
Grosskronige Arten;Tilia tomentosa (Silber-Linde);lebensdauer_mw;80,0;Szenario 3: Radikaler Lebenszyklus;0,4000;langlebigkeit_wirtschaftlichkeit;50,0;100,0;0,6000000000000000;0,239999999999999991
Grosskronige Arten;Tilia tomentosa (Silber-Linde);klimaangepasst;3,0;Szenario 0: Baseline (IST);0,0800;multifunktionale_nutzungsqualitaet;1,0;3,0;1,0000000000000000;0,080000000000000016
Grosskronige Arten;Tilia tomentosa (Silber-Linde);klimaangepasst;3,0;Szenario 1: Forschungsfokus;0,0200;multifunktionale_nutzungsqualitaet;1,0;3,0;1,0000000000000000;0,020000000000000004
Grosskronige Arten;Tilia tomentosa (Silber-Linde);klimaangepasst;3,0;Szenario 2: Radikale Vermeidung;0,0100;multifunktionale_nutzungsqualitaet;1,0;3,0;1,0000000000000000;0,010000000000000002
Grosskronige Arten;Tilia tomentosa (Silber-Linde);klimaangepasst;3,0;Szenario 3: Radikaler Lebenszyklus;0,0200;multifunktionale_nutzungsqualitaet;1,0;3,0;1,0000000000000000;0,020000000000000004
Grosskronige Arten;Tilia tomentosa (Silber-Linde);geeignet_stadtbaum;3,0;Szenario 0: Baseline (IST);0,0800;multifunktionale_nutzungsqualitaet;1,0;3,0;1,0000000000000000;0,080000000000000016
Grosskronige Arten;Tilia tomentosa (Silber-Linde);geeignet_stadtbaum;3,0;Szenario 1: Forschungsfokus;0,0200;multifunktionale_nutzungsqualitaet;1,0;3,0;1,0000000000000000;0,020000000000000004
Grosskronige Arten;Tilia tomentosa (Silber-Linde);geeignet_stadtbaum;3,0;Szenario 2: Radikale Vermeidung;0,0100;multifunktionale_nutzungsqualitaet;1,0;3,0;1,0000000000000000;0,010000000000000002
Grosskronige Arten;Tilia tomentosa (Silber-Linde);geeignet_stadtbaum;3,0;Szenario 3: Radikaler Lebenszyklus;0,0200;multifunktionale_nutzungsqualitaet;1,0;3,0;1,0000000000000000;0,020000000000000004
Grosskronige Arten;Tilia tomentosa (Silber-Linde);kronenbreite_mw;17,5;Szenario 0: Baseline (IST);0,0480;multifunktionale_nutzungsqualitaet;3,0;17,5;1,0000000000000000;0,048000000000000001
Grosskronige Arten;Tilia tomentosa (Silber-Linde);kronenbreite_mw;17,5;Szenario 1: Forschungsfokus;0,0120;multifunktionale_nutzungsqualitaet;3,0;17,5;1,0000000000000000;0,012000000000000000
Grosskronige Arten;Tilia tomentosa (Silber-Linde);kronenbreite_mw;17,5;Szenario 2: Radikale Vermeidung;0,0060;multifunktionale_nutzungsqualitaet;3,0;17,5;1,0000000000000000;0,006000000000000000
